attendance_pct,study_hours_wk,quiz_avg,assign_avg,midterm,lms_logins_wk,forum_posts,passed
56,7,30,56,36,1,11,0
75,26,64,96,67,1,14,1
89,25,93,60,53,23,10,1
79,10,87,52,73,16,10,0
43,19,88,82,27,23,12,0
41,11,30,43,93,8,11,0
45,13,32,35,84,21,5,0
93,8,96,43,90,0,19,1
81,4,66,57,50,9,18,1
43,31,58,79,95,27,18,1
93,28,62,36,98,22,2,0
68,11,90,48,93,14,15,1
57,1,33,72,71,20,8,0
65,24,43,74,66,14,13,0
83,31,62,97,55,24,2,0
73,26,51,50,46,22,2,0
49,5,77,40,41,20,19,0
75,20,32,37,44,28,6,0
53,11,52,48,32,1,18,0
70,33,97,65,73,13,2,1
87,27,50,67,62,3,0,0
54,34,72,35,77,17,11,0
47,15,55,78,52,8,5,0
53,32,70,49,53,1,6,1
62,21,67,71,96,1,1,0
99,5,40,61,35,17,17,0
96,6,58,82,71,16,14,1
79,22,89,61,69,8,14,1
60,18,96,46,42,7,9,0
55,14,94,64,74,1,16,0
84,10,90,41,73,1,17,0
57,13,48,68,46,4,17,0
86,31,75,66,69,11,14,1
92,30,78,73,85,28,5,1
63,3,51,77,45,29,8,0
65,30,86,77,95,27,10,0
64,6,43,37,85,15,14,0
99,29,73,80,60,13,2,1
99,8,45,66,48,19,18,1
99,33,41,77,56,1,0,0
84,17,84,37,83,23,16,1
80,11,80,97,99,7,10,1
68,13,68,74,29,28,17,0
54,11,62,52,40,3,10,0
84,31,62,96,35,29,6,1
40,28,58,44,59,19,0,0
64,6,98,86,99,8,11,1
46,16,99,80,66,19,3,1
48,4,60,89,34,25,7,0
63,26,60,80,32,26,14,0
40,12,75,94,50,24,10,0
83,11,81,60,27,18,7,0
47,25,39,61,83,1,11,0
63,18,70,72,27,15,2,0
50,19,32,56,62,10,3,0
90,23,88,60,26,7,11,0
56,18,81,69,41,11,7,0
47,26,63,85,97,2,9,0
74,6,78,52,60,12,0,0
74,4,57,77,97,1,12,0
72,29,42,46,26,12,6,0
98,34,98,37,58,26,19,1
44,17,96,41,51,7,2,0
81,16,90,40,61,14,15,0
78,2,89,79,95,23,11,0
97,34,53,73,46,20,4,0
80,8,92,85,92,8,17,1
67,13,90,43,38,10,7,0
46,8,52,57,47,21,11,0
48,30,59,46,68,20,2,0
47,32,89,96,89,27,15,1
51,30,47,74,85,2,9,1
73,1,85,88,79,6,16,1
72,17,82,41,95,13,9,0
87,20,36,51,74,14,2,0
94,24,98,84,36,8,1,0
62,22,81,58,39,19,13,0
63,29,33,36,41,10,8,0
76,22,63,67,58,6,16,1
74,9,98,55,59,11,3,1
83,10,62,87,63,18,14,0
79,28,98,80,79,26,12,1
61,28,67,79,83,17,18,1
66,21,55,43,29,12,8,0
74,24,30,40,54,10,3,0
40,2,33,85,28,0,7,0
74,8,68,69,39,5,14,0
76,27,83,87,59,20,13,0
86,22,62,53,98,1,2,0
53,27,62,59,79,12,16,0
42,29,49,45,90,12,7,0
40,3,45,51,84,18,13,0
44,13,50,70,48,8,12,0
65,10,74,55,46,18,14,1
94,9,91,52,68,22,10,1
53,27,60,94,56,0,14,1
78,34,71,52,75,22,11,0
66,1,41,35,27,24,8,0
48,32,94,48,94,27,14,1
54,25,32,42,56,26,0,0
54,29,38,85,26,7,11,0
65,7,80,94,83,22,5,1
81,3,45,68,97,25,0,0
99,20,32,70,38,13,18,1
52,20,53,96,75,23,12,1
90,30,42,35,35,15,5,0
71,27,31,76,34,28,16,0
78,26,50,35,82,3,12,1
88,14,48,88,58,17,8,0
91,17,76,81,77,13,7,0
71,18,51,73,52,29,14,0
43,29,62,64,42,26,17,0
69,20,61,41,50,8,1,0
76,27,93,56,31,14,1,0
62,18,68,84,69,2,10,1
78,4,71,79,69,29,0,0
84,1,38,44,95,26,17,0
54,1,54,48,59,3,6,0
82,26,31,80,76,22,16,0
68,20,48,40,45,17,15,0
75,23,49,55,52,13,6,0
52,10,99,96,68,14,6,1
71,11,46,53,80,7,1,0
46,5,97,96,34,27,4,0
98,1,32,87,47,9,13,0
90,17,80,58,72,23,7,1
61,22,55,90,76,11,11,0
67,34,85,96,39,20,6,0
41,29,93,68,79,8,5,0
81,4,37,56,67,7,12,0
84,5,66,91,74,16,11,1
96,11,56,44,30,8,16,0
92,21,74,42,57,12,15,0
45,12,33,72,86,29,0,0
67,26,66,96,79,13,6,1
67,19,62,62,63,4,2,0
83,7,60,44,36,8,5,0
83,7,84,79,55,24,2,1
59,26,41,99,98,25,2,0
69,5,40,43,77,25,7,0
50,21,61,39,58,15,13,0
97,14,86,44,65,18,8,0
94,4,67,46,34,23,4,0
67,23,89,92,76,22,14,1
64,20,48,55,99,6,16,0
78,15,85,55,81,11,9,0
72,29,43,99,27,25,7,1
40,8,62,37,81,1,17,0
96,19,39,98,57,17,5,1
66,28,93,83,31,17,16,1
96,27,93,51,28,15,3,0
91,4,91,66,63,28,14,0
52,15,97,55,72,10,9,0
80,1,72,41,98,1,12,0
42,3,88,41,40,13,0,0
78,24,81,61,62,3,8,0
45,27,48,42,28,6,4,0
47,34,50,62,28,1,10,0
66,29,51,81,51,20,3,0
48,24,38,44,41,13,19,0
76,24,38,67,94,6,15,0
72,4,56,41,78,8,17,0
90,3,46,37,32,7,7,0
81,34,73,48,77,8,1,0
83,23,74,78,29,6,16,0
63,23,37,80,93,18,9,0
54,5,47,95,71,16,12,0
98,31,62,70,98,25,14,1
93,6,30,47,64,22,8,0
71,10,35,50,31,12,7,0
71,7,70,39,36,10,5,0
63,21,84,72,49,21,3,0
80,20,34,84,52,17,17,1
91,3,88,72,67,16,2,0
88,22,47,90,71,27,3,1
88,4,78,97,73,15,12,1
97,28,94,82,78,9,19,0
91,12,83,93,42,3,10,0
51,5,90,78,51,29,7,1
78,13,37,89,96,3,13,1
41,23,32,89,30,21,13,0
42,30,54,35,99,10,15,0
88,25,98,42,93,20,13,0
76,27,84,38,95,24,0,0
88,14,69,87,46,7,1,0
95,16,79,92,83,8,19,1
56,22,62,71,71,15,0,0
98,21,47,83,92,9,10,0
88,21,86,53,56,22,5,0
41,8,45,35,25,8,14,0
41,16,67,63,78,2,11,0
67,31,70,67,70,24,4,0
93,10,36,86,65,1,11,0
62,32,82,75,65,8,13,1
76,34,92,57,32,12,13,0
71,9,61,39,56,5,18,0
72,17,67,91,54,3,4,1
40,11,51,40,70,27,2,0
58,32,45,83,76,13,17,0
41,10,81,56,85,27,5,0
92,22,58,38,37,28,8,0
83,17,45,98,64,10,6,0
65,4,46,71,85,1,17,0
71,25,93,65,68,28,1,1
45,21,42,71,86,25,19,0
71,1,85,79,68,2,9,1
94,25,34,42,72,4,11,1
43,17,41,74,98,24,1,0
94,24,70,39,83,6,12,1
50,2,32,62,81,10,7,0
95,15,62,43,35,11,6,0
98,32,79,36,49,28,2,0
56,6,85,97,85,10,7,1
77,1,38,85,70,18,0,0
63,23,79,65,78,12,14,1
44,17,58,41,58,3,0,0
91,34,68,64,31,13,11,0
73,29,74,92,86,11,10,0
45,9,46,37,81,26,15,0
61,13,85,85,29,1,3,0
50,6,75,90,59,29,1,0
87,6,96,44,61,7,2,1
55,20,98,95,84,21,3,0
72,3,43,84,89,18,17,0
48,17,96,81,40,12,11,0
99,12,52,35,54,20,0,0
98,1,90,91,97,20,2,1
45,17,52,72,66,27,3,1
55,3,56,96,85,0,5,1
68,26,83,99,98,28,16,0
42,15,39,96,72,4,7,0
59,32,45,90,86,21,17,0
99,32,70,51,88,25,15,0
98,4,84,42,81,25,5,0
75,18,90,94,92,26,18,1
58,19,78,74,70,10,7,1
65,14,81,96,52,10,3,0
42,33,31,75,27,12,8,0
58,14,79,46,61,1,7,0
59,34,72,88,72,18,18,1
71,4,37,45,43,15,0,0
46,24,88,94,41,25,3,0
91,29,94,80,64,4,9,0
80,19,41,72,74,13,7,0
72,6,33,95,97,28,2,1
79,33,70,51,53,18,11,0
78,19,36,70,75,4,8,0
57,1,98,41,66,20,2,0
79,5,98,50,53,23,3,0
40,27,59,48,90,25,5,0
50,16,35,59,41,8,8,0
67,6,48,38,55,23,1,0
96,13,95,63,76,11,1,0
64,19,39,90,63,15,17,0
89,12,45,40,84,18,2,0
62,16,66,35,75,14,2,0
70,10,61,73,40,16,17,0
69,25,76,35,38,29,5,0
81,20,72,97,66,14,0,0
74,31,65,91,75,2,14,0
46,4,55,99,48,16,10,0
99,23,39,99,67,12,9,1
55,2,60,55,97,26,3,0
65,22,58,64,43,8,13,0
87,8,34,67,85,27,1,0
96,7,30,82,87,12,12,1
91,14,32,56,50,15,15,0
99,3,96,88,59,18,11,1
88,16,64,38,91,13,4,0
41,19,44,89,80,7,18,0
40,18,96,78,64,21,2,0
87,16,59,46,53,18,19,0
51,8,72,86,30,24,1,0
44,33,89,99,76,23,16,0
76,12,69,99,25,2,10,1
71,11,94,44,76,22,0,0
98,5,58,52,48,20,18,0
94,27,48,81,58,17,7,0
48,12,32,83,31,15,10,0
80,17,65,56,99,13,7,0
74,6,72,60,35,15,16,0
58,33,44,43,60,23,19,0
87,5,70,55,44,16,5,0
55,28,65,97,87,19,6,1
42,14,62,40,87,10,12,0
59,5,34,48,93,12,6,0
63,33,43,67,54,10,10,1
93,19,97,58,54,27,9,0
95,22,76,85,46,28,7,0
72,5,83,36,85,3,9,0
63,2,33,49,45,28,10,0
91,30,38,69,61,25,19,1
50,4,82,70,51,13,16,0
88,33,89,73,59,4,10,0
47,13,75,38,62,3,15,0
75,20,83,98,84,0,4,1
77,7,66,40,94,13,9,0
79,15,52,91,56,6,19,0
59,23,56,64,51,9,4,0
74,14,99,49,27,26,19,1
87,23,95,51,73,1,8,1
64,19,90,52,54,9,2,1
74,29,80,53,46,2,2,0
64,20,79,58,43,20,9,1
68,29,48,82,55,7,6,0
57,24,30,64,44,9,1,0
85,18,69,49,43,7,7,0
57,10,61,81,26,13,11,0
41,8,51,78,64,17,8,0
93,26,95,61,63,8,10,1
74,29,69,98,96,21,18,1
55,10,67,75,78,8,19,0
80,17,77,39,51,29,16,0
75,2,84,87,36,3,12,0
72,6,84,42,95,2,0,0
43,5,80,56,41,13,0,0
72,28,89,41,34,13,7,0
53,5,37,56,43,20,12,0
60,18,97,80,54,15,5,1
87,26,38,64,54,4,2,0
59,20,31,50,49,19,15,0
95,27,99,39,98,28,9,1
47,12,88,57,90,22,6,1
46,7,48,95,59,23,2,0
42,3,57,39,75,14,13,0
56,10,43,57,95,20,15,0
72,34,53,59,95,8,3,0
87,25,73,42,51,6,12,0
51,16,85,55,34,12,0,1
98,2,80,36,67,28,4,0
90,24,61,56,79,22,17,1
61,10,79,98,95,7,11,0
94,22,70,53,30,11,10,0
61,26,95,87,30,3,8,0
85,27,54,86,72,15,6,0
69,29,90,81,26,25,13,0
77,20,95,88,75,28,2,1
77,27,71,78,85,28,15,1
84,20,94,41,43,5,6,0
90,19,65,35,26,4,0,0
93,20,38,97,75,0,5,0
47,2,65,73,50,13,5,0
66,30,67,53,94,28,9,0
66,34,62,65,44,8,11,0
73,22,71,58,47,17,18,0
60,3,90,99,78,5,5,1
69,6,75,67,39,14,13,0
72,15,90,93,30,15,2,0
67,27,47,67,59,7,9,1
86,10,99,66,99,18,8,1
72,9,44,93,32,4,19,0
44,33,77,75,81,13,18,0
99,32,42,46,74,6,14,0
87,6,72,45,73,3,8,0
58,2,89,53,45,29,18,0
43,29,86,88,60,27,7,0
74,4,46,91,95,20,3,0
88,1,79,76,93,0,4,1
56,19,61,65,82,3,18,0
83,26,51,86,87,29,13,0
67,25,84,36,40,13,17,0
69,10,86,72,30,22,18,0
68,15,42,66,76,15,5,0
85,22,76,44,26,27,4,0
92,21,91,42,42,25,10,0
45,22,83,54,59,6,4,0
74,34,58,54,63,9,7,0
99,30,51,43,25,9,4,0
80,25,94,49,61,3,10,0
76,28,58,97,45,11,12,0
63,1,77,55,25,5,5,0
68,4,34,39,28,12,4,0
88,7,64,69,82,20,17,0
85,9,75,82,25,0,9,0
92,19,64,96,37,7,15,0
70,1,74,69,70,27,13,0
74,10,42,55,71,22,14,0
99,9,39,73,31,15,2,0
72,32,95,68,75,4,2,0
91,32,99,49,27,28,11,1
60,6,54,40,74,25,14,0
71,17,73,90,50,25,10,1
62,10,89,83,55,6,9,0
72,27,76,35,86,25,19,0
42,21,69,99,50,2,14,0
57,25,36,62,91,23,17,0
64,28,75,54,79,20,13,0
81,15,52,82,52,1,5,0
70,4,75,99,68,1,13,0
93,29,42,85,62,19,15,1
97,9,50,77,54,22,1,0
42,27,30,83,90,29,18,0
79,26,48,59,32,9,4,0
85,19,89,75,38,19,10,1
63,28,62,98,86,8,10,0
89,17,33,95,99,17,18,0
71,20,32,46,87,5,17,0
86,23,81,48,90,19,7,0
61,32,57,68,64,5,11,1
62,33,99,82,37,25,8,0
41,5,99,95,41,24,2,0
66,34,84,69,39,9,5,0
81,11,86,99,57,27,0,0
41,3,45,93,40,24,16,0
65,33,53,70,37,8,2,0
56,11,98,53,47,8,17,0
79,16,70,76,60,2,17,0
72,18,76,53,67,11,1,1
48,30,98,73,74,10,3,1
82,10,60,86,98,13,0,1
93,18,59,46,37,24,9,0
87,19,47,81,54,18,4,0
78,13,73,70,81,9,4,0
68,3,56,97,54,18,8,1
81,10,55,85,95,4,13,0
94,1,89,77,34,21,12,0
65,27,47,68,90,8,12,1
74,8,85,83,63,0,0,0
89,17,60,52,61,14,16,1
64,9,88,95,27,23,19,0
63,6,31,91,58,29,7,0
52,25,68,39,62,29,2,0
99,28,90,58,38,3,16,0
97,33,92,98,88,25,11,1
46,9,47,93,63,6,17,0
96,18,46,72,78,5,13,0
75,21,68,67,26,14,10,0
84,2,83,44,67,5,15,0
59,15,64,71,77,6,3,0
40,28,40,45,27,19,17,0
47,18,90,58,65,21,6,0
85,34,73,55,32,2,10,0
55,22,97,54,99,20,15,0
53,11,54,44,87,28,15,0
51,13,77,81,89,28,2,1
90,4,61,81,28,29,8,0
62,22,33,49,92,12,7,1
54,7,67,78,34,1,6,0
67,24,92,96,99,2,16,0
73,4,76,40,74,12,10,1
41,28,30,38,47,8,3,0
71,15,32,57,85,21,3,0
62,1,91,47,71,18,4,0
61,3,93,65,27,17,7,0
90,14,46,50,41,4,9,0
64,1,91,75,46,9,16,1
97,21,64,35,40,13,5,0
61,29,42,46,27,20,8,0
97,5,64,90,76,16,9,1
97,10,72,84,57,2,7,1
61,28,31,54,66,6,14,0
88,21,85,70,26,8,17,0
91,7,80,72,63,4,4,0
81,3,83,56,70,3,17,0
45,20,45,95,72,2,0,0
54,19,47,84,51,25,1,0
93,4,36,93,39,12,9,0
82,5,74,54,31,8,5,0
99,1,65,70,81,29,18,0
76,4,70,49,66,22,10,0
72,12,71,96,33,27,17,0
47,27,36,37,30,6,15,0
92,23,44,39,81,29,7,0
99,25,89,90,54,28,3,1
83,21,69,65,79,7,10,0
83,24,66,69,78,9,9,0
44,25,95,60,51,0,15,1
78,32,84,35,83,26,11,1
43,32,85,41,31,19,2,0
45,5,73,70,64,28,10,0
84,16,86,59,96,28,15,0
71,33,35,93,26,20,2,0
91,21,61,95,38,20,9,0
69,9,47,63,34,0,15,0
86,6,97,52,74,18,6,0
74,22,36,75,42,1,14,1
94,5,37,53,42,11,14,0
79,23,93,38,40,22,9,0
91,17,36,99,76,12,2,1
55,12,70,75,93,13,5,0
52,23,69,49,76,4,17,0
89,16,32,88,55,2,4,0
99,3,46,98,47,26,15,0
81,30,95,49,66,23,12,0
69,22,81,84,86,16,2,0
58,9,51,56,74,0,14,0
56,29,33,52,39,13,19,0
95,23,35,36,68,5,5,1
58,13,67,70,66,16,3,0
67,32,55,54,69,3,14,0
97,23,40,50,59,5,17,1
94,17,46,64,46,0,8,0
65,21,60,89,98,28,19,0
76,2,64,60,99,8,3,0
65,6,45,91,62,3,15,0
92,18,47,36,94,8,17,0
62,30,91,90,88,8,4,1
48,22,56,96,31,28,12,1
51,33,64,68,68,21,5,0
92,30,74,90,31,12,18,1
40,17,64,89,90,22,11,1
97,32,57,54,84,28,14,0
97,14,38,84,25,16,8,0
40,10,44,59,86,20,6,0
86,34,50,59,42,2,13,0
73,9,81,87,31,25,18,1
71,28,64,48,78,25,19,0
93,11,80,94,91,28,15,1
87,14,84,77,34,5,3,0
64,19,73,96,85,19,11,0
79,15,94,97,83,14,17,1
84,28,54,36,83,28,7,0
92,24,76,88,93,13,16,1
40,8,85,50,87,12,2,1
55,9,67,89,32,8,3,0
78,33,40,77,79,22,9,0
44,33,96,95,30,14,15,0
61,19,44,72,25,13,19,0
68,3,30,79,80,3,1,1
94,10,36,85,99,28,11,0
42,1,30,76,34,10,15,0
51,29,78,58,47,21,9,0
65,34,58,64,40,1,4,0
55,13,55,71,40,29,11,0
90,1,74,87,80,15,2,1
76,34,41,97,30,18,11,0
61,29,61,45,54,15,0,0
96,13,49,57,87,26,1,1
68,29,80,84,25,6,10,0
53,24,65,89,75,10,11,0
67,26,96,89,70,11,6,1
44,17,30,38,45,3,0,0
86,7,56,88,62,29,12,0
88,13,69,95,93,15,12,1
69,5,43,39,87,27,1,0
85,26,98,52,74,25,9,1
91,3,35,78,36,15,0,0
44,7,62,65,93,6,6,0
51,1,84,55,97,24,12,1
55,17,48,81,68,29,1,0
65,25,58,64,76,12,19,1
65,3,90,89,33,4,6,0
87,15,99,75,89,29,16,1
60,29,53,79,34,0,4,0
78,32,52,64,70,4,10,1
75,26,39,79,82,21,10,1
72,16,83,79,61,13,10,0
69,25,70,79,76,10,16,1
76,28,78,89,37,1,18,1
62,9,46,93,30,23,7,0
97,1,85,39,82,28,19,0
49,29,74,66,72,17,13,0
93,22,59,40,56,14,9,0
44,16,73,60,35,13,6,0
75,7,84,71,29,24,1,0
73,14,48,47,30,29,16,0
91,29,58,59,98,12,0,1
70,19,31,47,45,1,12,0
49,19,65,54,66,18,18,1
97,2,48,94,51,7,13,1
58,15,36,55,27,26,17,0
97,3,55,95,84,21,19,1
71,11,67,60,90,16,13,0
40,30,32,88,73,14,14,0
95,18,95,76,58,19,13,0
44,2,72,45,61,20,4,0
84,32,91,71,66,13,15,1
43,8,53,45,89,26,4,0
55,22,68,61,84,2,12,0
63,6,97,68,25,16,15,0
55,12,73,72,83,2,14,0
94,15,34,95,28,12,4,0
41,28,84,87,38,24,5,0
88,18,59,99,42,17,12,1
67,2,58,37,58,0,15,0
71,13,55,62,25,6,9,0
66,15,55,48,77,28,1,0
59,20,66,86,46,22,12,1
63,29,82,64,85,4,16,0
51,29,59,92,46,1,0,1
89,3,32,88,74,29,3,0
74,19,72,49,40,16,17,1
99,3,36,72,52,28,5,0
72,14,78,48,94,20,11,0
72,4,70,91,66,9,19,0
90,11,83,93,90,3,12,1
82,31,98,42,95,8,1,1
76,32,56,53,59,20,16,0
51,27,37,66,44,10,9,0
42,30,61,63,26,25,18,0
40,2,93,75,31,11,4,0
72,9,39,79,73,11,11,0
79,28,42,47,33,17,17,0
49,31,92,61,51,3,8,0
82,34,64,53,26,28,10,0
83,15,90,60,92,27,3,1
68,25,83,87,84,8,9,1
52,8,37,85,73,7,0,0
51,9,58,71,26,18,1,0
70,32,70,43,41,23,8,0
85,17,59,86,44,12,17,0
41,19,50,88,56,1,15,0
90,29,40,37,75,18,13,0
89,7,31,42,66,13,3,1
74,28,79,48,87,4,1,0
62,9,70,37,85,26,11,0
56,28,95,58,86,27,19,0
65,6,32,47,27,29,4,0
47,29,80,77,50,25,3,0
68,17,97,63,72,9,14,1
65,16,54,85,32,23,2,0
49,23,59,76,29,16,16,0
65,31,40,65,35,19,7,0
73,3,46,97,66,15,11,0
90,21,55,60,65,16,7,1
80,26,52,52,43,0,19,0
46,22,85,91,72,27,19,0
43,12,81,41,77,20,4,0
97,13,77,82,79,21,5,1
92,11,49,94,85,14,4,1
89,16,31,67,56,16,7,0
84,8,60,37,70,10,17,0
50,2,56,38,60,21,3,0
68,30,31,38,42,4,3,0
95,30,33,76,98,3,4,1
75,12,42,43,42,25,14,0
64,10,64,85,36,20,5,0
60,11,95,51,96,23,15,1
96,15,35,51,70,8,13,0
75,16,60,54,79,26,13,0
49,17,39,48,62,15,15,0
76,26,50,56,26,29,3,0
48,2,52,86,33,11,10,0
63,12,32,61,29,17,18,0
74,26,61,77,43,21,18,0
88,23,49,37,95,2,7,0
74,18,58,42,63,14,9,0
87,32,81,44,66,17,4,0
75,3,75,63,41,11,15,0
57,3,63,74,87,29,2,0
88,30,90,99,70,12,9,1
78,1,99,55,44,0,12,1
71,30,40,58,94,3,6,0
63,32,92,94,32,7,11,0
62,28,50,60,43,18,13,0
71,21,32,43,56,20,9,0
76,13,39,54,43,29,8,0
51,27,56,90,48,25,11,0
88,7,41,70,48,20,2,0
94,22,36,70,80,4,12,1
52,10,46,56,42,10,5,0
62,15,94,35,36,24,5,0
64,15,93,71,65,23,18,1
74,4,55,47,72,23,6,0
80,32,44,77,88,28,3,1
69,23,62,71,40,28,4,1
56,6,91,59,47,16,0,0
88,24,76,55,63,16,17,0
59,20,64,75,57,1,16,0
87,20,94,76,48,29,8,1
64,12,54,76,85,23,8,0
61,33,86,36,79,25,9,0
52,28,61,42,85,0,19,0
98,8,92,95,64,3,16,1
58,1,41,48,82,8,12,0
88,22,92,55,96,1,3,0
75,6,30,58,98,2,17,0
51,21,80,84,25,26,17,0
80,32,99,79,49,5,8,1
58,15,37,98,77,12,2,0
51,5,97,98,85,14,6,0
48,6,34,60,70,10,14,0
46,25,68,66,98,9,8,0
67,29,52,91,84,2,8,1
53,7,97,87,75,19,3,0
70,13,81,67,97,8,17,0
91,18,33,86,72,24,16,1
58,2,76,52,64,9,5,0
97,8,50,69,31,20,6,0
86,11,85,46,99,22,9,1
55,33,95,85,43,24,9,0
92,27,88,44,39,23,5,0
44,20,36,86,94,26,5,0
74,12,78,68,85,22,18,0
51,31,45,73,80,11,7,0
64,27,46,42,34,7,8,0
91,32,63,63,70,20,0,1
98,10,62,56,99,20,15,1
60,3,55,95,81,20,5,0
75,27,95,77,59,16,7,1
92,31,92,83,96,21,14,1
62,15,70,63,27,4,11,0
55,16,87,65,90,23,9,1
96,13,39,87,77,7,15,0
78,11,44,68,76,17,14,0
84,21,71,72,77,10,10,1
92,11,86,91,78,21,6,0
81,30,46,38,71,27,7,0
97,22,89,36,27,26,10,0
78,31,38,46,89,9,8,0
53,14,65,69,39,25,6,0
70,24,65,55,58,14,14,0
97,32,77,95,74,5,14,1
44,32,80,69,57,18,15,1
74,15,99,82,97,16,2,1
62,3,97,49,27,22,15,0
68,16,51,49,26,9,14,0
82,5,35,40,28,4,0,0
50,21,55,56,40,27,13,0
57,10,32,66,78,15,10,0
86,19,81,56,57,11,2,0
51,25,89,61,33,25,8,0
48,4,92,49,81,20,5,0
49,29,94,78,64,26,15,1
97,19,81,43,76,23,10,0
83,2,43,68,40,27,17,0
56,10,97,49,32,4,16,0
77,25,57,96,84,20,16,0
46,20,39,79,60,0,2,0
85,19,86,92,27,1,18,0
52,23,95,53,39,4,14,0
79,24,79,50,47,22,9,0
81,11,43,42,27,18,7,0
48,34,45,67,54,27,16,0
89,28,83,52,69,14,3,1
66,5,72,69,41,0,7,0
97,5,71,77,82,10,1,1
41,21,51,84,82,27,7,0
44,12,97,37,81,17,6,1
68,4,48,93,31,2,8,0
76,20,95,62,63,27,17,0
77,25,68,80,82,8,16,0
58,14,48,98,80,23,0,0
47,11,45,81,39,3,11,1
87,32,83,48,68,23,3,0
84,11,54,41,36,12,16,0
40,18,47,65,32,8,6,0
61,27,52,85,65,2,2,0
91,18,40,63,58,15,0,0
56,23,68,49,70,21,18,0
46,11,97,59,53,7,1,0
64,21,54,95,40,25,5,0
84,5,92,75,29,6,10,0
43,23,59,38,29,24,3,0
75,25,74,91,54,22,0,0
45,10,90,65,74,16,10,1
99,22,80,37,29,24,15,1
70,19,38,84,37,27,5,0
58,1,31,51,73,15,10,0
83,7,34,94,74,20,7,0
93,4,91,58,38,21,19,0
78,1,98,66,70,17,0,1
66,15,81,53,58,15,13,1
49,12,34,94,95,14,1,0
65,22,88,49,71,1,5,0
58,22,97,69,84,28,8,0
78,17,38,61,98,19,13,0
42,29,51,41,35,3,7,0
84,14,56,40,74,4,2,0
52,20,39,67,28,6,9,0
89,33,90,92,65,28,17,0
67,15,80,83,83,26,19,0
97,12,39,51,84,27,8,1
59,20,35,76,86,14,8,1
67,30,91,74,49,16,18,1
47,3,34,80,57,9,12,0
80,28,99,35,43,19,0,0
78,26,92,86,81,28,16,1
40,30,85,69,39,8,3,1
42,13,88,39,65,15,3,0
52,13,92,51,93,23,15,1
67,2,88,87,84,2,15,0
96,2,80,86,46,21,14,1
99,26,79,48,67,26,5,1
88,11,33,63,56,8,4,0
64,8,77,42,37,7,9,0
95,22,61,35,62,22,6,0
72,20,80,63,50,6,6,0
77,8,81,70,29,16,9,0
92,29,63,85,73,4,9,0
45,26,65,71,29,6,14,0
97,30,99,87,95,29,5,1
83,17,72,86,72,12,1,1
84,20,45,46,42,17,7,0
71,16,88,86,30,21,19,0
84,7,82,35,90,13,14,0
86,16,48,41,66,17,17,0
60,27,70,51,76,2,4,0
55,23,76,77,35,16,3,0
93,24,83,51,50,18,9,0
60,9,84,93,45,6,18,1
